PipelineID,FilingID,Effective Start,Effective End,Receipt Point,Delivery Point,Service,Product,Original Toll Value,Original Toll Unit,Converted Toll Value,Converted Toll Unit
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Empress,Eastern Zone,FT,natural gas,1.03033,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Empress,Emerson 2,FT,natural gas,0.363863,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Empress,Iroquois,FT,natural gas,1.006119,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Union Parkway Belt,Emerson 2,FT,natural gas,0.619035,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.059338,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.233197,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Union Parkway Belt,Iroquois,FT,natural gas,0.172046,CA$ per GJ,,
TCPL,2007 Interim 2,2007-04-01,2007-12-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.113202,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Empress,Eastern Zone,FT,natural gas,1.403485,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Empress,Emerson 2,FT,natural gas,0.499832,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Empress,Iroquois,FT,natural gas,1.396691,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Union Parkway Belt,Emerson 2,FT,natural gas,0.856175,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.074432,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.320588,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Union Parkway Belt,Iroquois,FT,natural gas,0.231886,CA$ per GJ,,
TCPL,2008 Final,2008-07-01,2008-12-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.151405,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Empress,Eastern Zone,FT,natural gas,1.092768,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Empress,Emerson 2,FT,natural gas,0.383207,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Empress,Iroquois,FT,natural gas,1.060923,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Union Parkway Belt,Emerson 2,FT,natural gas,0.652441,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.061805,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.2458,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Union Parkway Belt,Iroquois,FT,natural gas,0.180762,CA$ per GJ,,
TCPL,2008 Interim 1,2008-01-01,2008-03-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.119957,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Empress,Eastern Zone,FT,natural gas,1.313249,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Empress,Emerson 2,FT,natural gas,0.467754,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Empress,Iroquois,FT,natural gas,1.307021,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Union Parkway Belt,Emerson 2,FT,natural gas,0.801215,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.069676,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.300046,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Union Parkway Belt,Iroquois,FT,natural gas,0.217019,CA$ per GJ,,
TCPL,2008 Interim 2,2008-04-01,2008-05-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.141708,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Empress,Eastern Zone,FT,natural gas,1.403485,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Empress,Emerson 2,FT,natural gas,0.499832,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Empress,Iroquois,FT,natural gas,1.396691,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Union Parkway Belt,Emerson 2,FT,natural gas,0.856175,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.074432,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.320588,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Union Parkway Belt,Iroquois,FT,natural gas,0.231886,CA$ per GJ,,
TCPL,2008 Interim 3,2008-06-01,2008-06-30,Union Parkway Belt,Union SWDA,FT,natural gas,0.151405,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Empress,Eastern Zone,FT,natural gas,1.190004,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Empress,Emerson 2,FT,natural gas,0.412184,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Empress,Iroquois,FT,natural gas,1.159147,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Union Parkway Belt,Emerson 2,FT,natural gas,0.709504,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.058389,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.266016,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Union Parkway Belt,Iroquois,FT,natural gas,0.18861,CA$ per GJ,,
TCPL,2009 Final,2009-05-01,2009-12-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.121403,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Empress,Eastern Zone,FT,natural gas,1.190004,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Empress,Emerson 2,FT,natural gas,0.412184,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Empress,Iroquois,FT,natural gas,1.159147,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Union Parkway Belt,Emerson 2,FT,natural gas,0.709504,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.058389,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.266016,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Union Parkway Belt,Iroquois,FT,natural gas,0.18861,CA$ per GJ,,
TCPL,2009 Interim,2009-01-01,2009-04-30,Union Parkway Belt,Union SWDA,FT,natural gas,0.121403,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Empress,Eastern Zone,FT,natural gas,1.638081,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Empress,Emerson 2,FT,natural gas,0.559319,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Empress,Iroquois,FT,natural gas,1.581398,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Union Parkway Belt,Emerson 2,FT,natural gas,0.965354,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.074677,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.35627,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Union Parkway Belt,Iroquois,FT,natural gas,0.253984,CA$ per GJ,,
TCPL,2010 Final,2010-01-01,2010-12-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.162194,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Empress,Eastern Zone,FT,natural gas,2.450391,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Empress,Emerson 2,FT,natural gas,0.846318,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Empress,Iroquois,FT,natural gas,2.385432,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Union Parkway Belt,Emerson 2,FT,natural gas,1.45786,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.116689,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.544357,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Union Parkway Belt,Iroquois,FT,natural gas,0.386723,CA$ per GJ,,
TCPL,2011 Final,2011-09-10,2011-12-31,Union Parkway Belt,Union SWDA,FT,natural gas,0.240428,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Empress,Eastern Zone,FT,natural gas,1.638081,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Empress,Emerson 2,FT,natural gas,0.559319,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Empress,Iroquois,FT,natural gas,1.581398,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Union Parkway Belt,Emerson 2,FT,natural gas,0.965354,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.074677,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.35627,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Union Parkway Belt,Iroquois,FT,natural gas,0.253984,CA$ per GJ,,
TCPL,2011 Interim 1,2011-01-01,2011-02-28,Union Parkway Belt,Union SWDA,FT,natural gas,0.162194,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Empress,Eastern Zone,FT,natural gas,2.242896,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Empress,Emerson 2,FT,natural gas,0.774831,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Empress,Iroquois,FT,natural gas,2.183758,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Union Parkway Belt,Emerson 2,FT,natural gas,1.334642,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Union Parkway Belt,Enbridge CDA,FT,natural gas,0.106905,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Union Parkway Belt,Énergir EDA (formerly called GMIT EDA),FT,natural gas,0.498483,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Union Parkway Belt,Iroquois,FT,natural gas,0.354113,CA$ per GJ,,
TCPL,2011 Interim 2,2011-03-01,2011-09-09,Union Parkway Belt,Union SWDA,FT,natural gas,0.220076,CA$ per GJ,,
TCPL,2012 Interim,2012-01-01,2013-06-30,Empress,Eastern Zone,FT,natural gas,2.450391,CA$ per GJ,,
TCPL,2012 Interim,2012-01-01,2013-06-30,Empress,Emerson 2,FT,natural gas,0.846318,CA$ per GJ,,
