PipelineID,Toll Description
Alliance,"From 2000 to 2015, Alliance was supported by 15-year firm transportation contracts. In 2015, the Board approved Alliance's new services and tolls, and granted Alliance discretion in setting bid floors for seasonal firm service between 100% and 125% of the applicable 5-Year firm toll, and up to 125%, for interruptible service. Shippers pay lower term-differentiated tolls if they contract for service for a longer period of time and tolls are charged by zone. Zone 1 includes all receipt points downstream of the Blueberry Hill Compressor Station near Gordondale, Alberta. Zone 2 includes the Blueberry Hill Compressor Station and all receipt points upstream of that station. Alliance also has a notional point known as the Alliance Trading Pool (ATP) where natural gas can be traded. Shippers have the option of contracting for service to or from the ATP only, or using the traditional full path service."
AltaGas,
Aurora,Plains Midstream Canada is subject to Group 2 financial regulation. Tolls on the Aurora Pipeline are regulated by the CER on a complaint basis.
Brunswick,"Approximately 19.3 million cubic metres per day (680 million cubic feet per day), or 83%, of capacity on the Emera Brunswick Pipeline is contracted under a 25-year firm service agreement with Repsol Energy Canada that expires in 2034. Emera is subject to Group 2 financial regulation. Tolls on the Emera Brunswick Pipeline are regulated by the CER on a complaint basis."
Cochin,"Cochin has been regulated on a complaint basis since 1986. Cochin provides condensate service to committed shippers from Kankakee County, Illinois; Clinton, Iowa; and Masback, North Dakota based on international joint tolls. Cochin reserves 10% of its capacity for uncommitted service with an uncommitted toll for local Canadian shipments and an international joint toll for shipments originating in the United States. Committed tolls vary according to the volume of condensate that a shipper commits to the Pipeline."
EnbridgeBakken,Enbridge Bakken Pipeline Company Inc. is subject to Group 2 financial regulation. Tolls on the Enbridge Bakken Pipeline are regulated by the CER on a complaint basis.
EnbridgeFSP,"From 1 July 2011 to 30 June 2021, Canadian Mainline tolls were set in accordance with the Competitive Toll Settlement (CTS), a 10-year negotiated settlement. It established Canadian local tolls for all volumes shipped within Canada as well as international joint tolls for volumes transported into the U.S. 

In December 2019, Enbridge filed an application with the CER for approval of a new service and tolling framework, seeking to have it in place when the CTS expired. Enbridge proposed to offer long-term contracts on the Canadian Mainline for up to 90% of the capacity, with at least 10% of capacity remaining available for uncommitted service. In November 2021, the CER denied the proposal. [Folder 3890507].

The Flanagan South Pipeline System interconnects with the Enbridge Mainline at Enbridge’s Flanagan Terminal, near Pontiac, Illinois, and serves delivery points in the state of Texas. Shippers pay international joint tolls for crude oil shipped from Canadian receipt points on the Enbridge Mainline to delivery points served by the Flanagan South Pipeline System. These tolls are based on the various pipeline routes (combinations of receipt and delivery points), type of commodity, volumes, length of contractual term, and open season.
"
EnbridgeLine9,Line 9 tolls are stand-alone from the Enbridge Mainline system. The Committed IJT toll is calculated as set forth in Schedule B of the Transportation Services Agreement (“TSA”) between Enbridge and the Line 9 committed shippers [Folder 940306]. The Uncommitted IJT tolls are calculated to provide a premium such that the total Uncommitted IJT toll from any Canadian Origination Point to Montreal is no more than 122% of the Committed IJT toll.
EnbridgeLocal,"From 1 July 2011 to 30 June 2021, Canadian Mainline tolls were set in accordance with the Competitive Toll Settlement (CTS), a 10-year negotiated settlement. It established Canadian local tolls for all volumes shipped within Canada as well as international joint tolls for volumes transported into the U.S. 

In December 2019, Enbridge filed an application with the CER for approval of a new service and tolling framework, seeking to have it in place when the CTS expired. Enbridge proposed to offer long-term contracts on the Canadian Mainline for up to 90% of the capacity, with at least 10% of capacity remaining available for uncommitted service. In November 2021, the CER denied the proposal. [Folder 3890507].

Shippers pay Canadian local tolls for crude oil shipped solely within Canada. These tolls are based on the various pipeline routes (combinations of receipt and delivery points) and the type of commodity shipped.
"
EnbridgeMainline,"From 1 July 2011 to 30 June 2021, Canadian Mainline tolls were set in accordance with the Competitive Toll Settlement (CTS), a 10-year negotiated settlement. It established Canadian local tolls for all volumes shipped within Canada as well as international joint tolls for volumes transported into the U.S. 

In December 2019, Enbridge filed an application with the CER for approval of a new service and tolling framework, seeking to have it in place when the CTS expired. Enbridge proposed to offer long-term contracts on the Canadian Mainline for up to 90% of the capacity, with at least 10% of capacity remaining available for uncommitted service. In November 2021, the CER denied the proposal. [Folder 3890507].

The local and international joint tolls in effect at the expiry of the CTS on 30 June 2021 continue to be charged on an interim basis, with some adjustments. All Enbridge Mainline capacity is offered to shippers on an uncommitted basis.

Shippers pay international joint tolls for the crude oil, condensates, and natural gas liquids shipped on the Enbridge Mainline from Western Canada to Ontario and the U.S. These tolls are based on the type of product and the various pipeline routes (combinations of receipt and delivery points).
"
